step,time,old_pos,new_pos,step_pnl,portfolio_value
0,2023-04-27 01:59:00,[0.],[0.01366023],-1.3660228811204433,99998.63397711888
1,2023-04-27 02:59:00,[0.01366023],[-0.10936289],-10.80111946761306,99987.83285765127
2,2023-04-27 03:59:00,[-0.10936289],[-0.17957275],-18.78585930981219,99969.04699834147
3,2023-04-27 04:59:00,[-0.17957275],[-0.3165921],-25.436245222230742,99943.61075311924
4,2023-04-27 05:59:00,[-0.3165921],[-0.5],-66.95295772902949,99876.65779539022
5,2023-04-27 06:59:00,[-0.5],[-0.5],-154.4548416036362,99722.20295378657
6,2023-04-27 07:59:00,[-0.5],[-0.5],-105.21468138968814,99616.98827239689
7,2023-04-27 08:59:00,[-0.5],[-0.5],-174.78192958162552,99442.20634281526
8,2023-04-27 09:59:00,[-0.5],[-0.5],-2.1377796732624432,99440.068563142
9,2023-04-27 10:59:00,[-0.5],[-0.5],-57.943203889033725,99382.12535925297
10,2023-04-27 11:59:00,[-0.5],[-0.5],-5.888975647995167,99376.23638360498
11,2023-04-27 12:59:00,[-0.5],[-0.5],-21.591364698615436,99354.64501890636
12,2023-04-27 13:59:00,[-0.5],[-0.5],66.53571966859118,99421.18073857496
13,2023-04-27 14:59:00,[-0.5],[-0.5],-45.48934740709164,99375.69139116787
14,2023-04-27 15:59:00,[-0.5],[-0.5],81.77177292079008,99457.46316408867
15,2023-04-27 16:59:00,[-0.5],[-0.5],52.80689393176608,99510.27005802043
16,2023-04-27 17:59:00,[-0.5],[-0.5],-215.02778734723393,99295.24227067319
17,2023-04-27 18:59:00,[-0.5],[-0.5],-197.6417275356257,99097.60054313757
18,2023-04-27 19:59:00,[-0.5],[-0.5],-28.62189006032189,99068.97865307724
19,2023-04-27 20:59:00,[-0.5],[-0.5],52.10330556273291,99121.08195863997
20,2023-04-27 21:59:00,[-0.5],[-0.5],-151.87607194764416,98969.20588669233
21,2023-04-27 22:59:00,[-0.5],[-0.5],149.198396923399,99118.40428361573
22,2023-04-27 23:59:00,[-0.5],[-0.5],-35.33765956678202,99083.06662404895
23,2023-04-28 00:59:00,[-0.5],[-0.5],-37.19083033433378,99045.87579371461
