step,time,old_pos,new_pos,step_pnl,portfolio_value
0,2023-04-27 01:59:00,[0. 0.],[-0.42857078 -0.02775602],0.0,100000.0
1,2023-04-27 02:59:00,[-0.42857078 -0.02775602],[-0.3244564  -0.28602588],-338.36498458147616,99661.63501541852
2,2023-04-27 03:59:00,[-0.3244564  -0.28602588],[-0.17347193  0.09303202],145.36406586245246,99806.99908128097
3,2023-04-27 04:59:00,[-0.17347193  0.09303202],[-0.23369193  0.19469334],-88.68433274333849,99718.31474853762
4,2023-04-27 05:59:00,[-0.23369193  0.19469334],[-0.3827183  -0.08506861],-69.48787461152195,99648.8268739261
5,2023-04-27 06:59:00,[-0.3827183  -0.08506861],[-0.11333742 -0.24584037],199.5578915469885,99848.38476547308
6,2023-04-27 07:59:00,[-0.11333742 -0.24584037],[-0.38433915 -0.10964869],16.777717128161328,99865.16248260124
7,2023-04-27 08:59:00,[-0.38433915 -0.10964869],[-0.31072235 -0.15701137],-341.7871459694839,99523.37533663175
8,2023-04-27 09:59:00,[-0.31072235 -0.15701137],[-0.32728365 -0.1124353 ],-99.8624003052799,99423.51293632647
9,2023-04-27 10:59:00,[-0.32728365 -0.1124353 ],[-0.32271856 -0.01686453],-5.116055292988566,99418.39688103348
10,2023-04-27 11:59:00,[-0.32271856 -0.01686453],[-0.32416502 -0.27764228],33.61793683481183,99452.01481786829
11,2023-04-27 12:59:00,[-0.32416502 -0.27764228],[-0.3221545  -0.37474394],-146.1205466736357,99305.89427119464
12,2023-04-27 13:59:00,[-0.3221545  -0.37474394],[-0.15887731  0.07354064],219.08207620342253,99524.97634739807
13,2023-04-27 14:59:00,[-0.15887731  0.07354064],[-0.32384607 -0.3902965 ],28.062781025626265,99553.0391284237
14,2023-04-27 15:59:00,[-0.32384607 -0.3902965 ],[-0.2718286  -0.35302672],23.37472767941383,99576.41385610311
15,2023-04-27 16:59:00,[-0.2718286  -0.35302672],[-0.27384552 -0.3828137 ],52.008430177450265,99628.42228628056
16,2023-04-27 17:59:00,[-0.27384552 -0.3828137 ],[-0.31040612  0.00602202],66.83692317877706,99695.25920945934
17,2023-04-27 18:59:00,[-0.31040612  0.00602202],[-0.2736632   0.15730022],-293.27365031324274,99401.9855591461
18,2023-04-27 19:59:00,[-0.2736632   0.15730022],[-0.28085104 -0.01729833],95.02782265424221,99497.01338180034
19,2023-04-27 20:59:00,[-0.28085104 -0.01729833],[-0.3591611  -0.09197393],30.170619573817408,99527.18400137416
20,2023-04-27 21:59:00,[-0.3591611  -0.09197393],[-0.31393558 -0.13805012],33.42358954294984,99560.6075909171
21,2023-04-27 22:59:00,[-0.31393558 -0.13805012],[-0.26287812 -0.2777535 ],26.561035170403734,99587.16862608751
22,2023-04-27 23:59:00,[-0.26287812 -0.2777535 ],[-0.31801304 -0.1685078 ],-48.0685311887243,99539.1000948988
23,2023-04-28 00:59:00,[-0.31801304 -0.1685078 ],[-0.3015106  -0.17444295],-128.77967224462859,99410.32042265417
24,2023-04-28 01:59:00,[-0.3015106  -0.17444295],[-0.31950584 -0.01195982],21.851068103824794,99432.171490758
25,2023-04-28 02:59:00,[-0.31950584 -0.01195982],[-0.21909063 -0.314443  ],-9.326433471208793,99422.84505728679
26,2023-04-28 03:59:00,[-0.21909063 -0.314443  ],[-0.30518386  0.08605007],29.097053345045175,99451.94211063183
27,2023-04-28 04:59:00,[-0.30518386  0.08605007],[-0.3343924 -0.4068329],93.82016513801007,99545.76227576984
28,2023-04-28 05:59:00,[-0.3343924 -0.4068329],[-0.26629445  0.03840588],165.0891670121083,99710.85144278195
29,2023-04-28 06:59:00,[-0.26629445  0.03840588],[-0.3706582  -0.26300773],-3.1687554819337542,99707.68268730001
30,2023-04-28 07:59:00,[-0.3706582  -0.26300773],[-0.19921756  0.01300281],334.18381914639343,100041.8665064464
31,2023-04-28 08:59:00,[-0.19921756  0.01300281],[-0.34006268 -0.36919388],40.07104887920604,100081.93755532561
32,2023-04-28 09:59:00,[-0.34006268 -0.36919388],[-0.3124558  -0.14952953],-16.452109941051127,100065.48544538456
33,2023-04-28 10:59:00,[-0.3124558  -0.14952953],[-0.312224   -0.01776184],29.562219500285305,100095.04766488484
34,2023-04-28 11:59:00,[-0.312224   -0.01776184],[-0.30981097 -0.27856916],-171.4989989565855,99923.54866592826
35,2023-04-28 12:59:00,[-0.30981097 -0.27856916],[-0.33589956 -0.2901543 ],-34.960374043737446,99888.58829188453
36,2023-04-28 13:59:00,[-0.33589956 -0.2901543 ],[-0.28338444 -0.38958097],-275.89636350893886,99612.69192837559
37,2023-04-28 14:59:00,[-0.28338444 -0.38958097],[-0.26689187  0.10367216],397.30187472518594,100009.99380310078
38,2023-04-28 15:59:00,[-0.26689187  0.10367216],[-0.37937415 -0.19567029],99.6729947952133,100109.66679789599
39,2023-04-28 16:59:00,[-0.37937415 -0.19567029],[-0.3153364 -0.4069764],67.06509303065272,100176.73189092665
40,2023-04-28 17:59:00,[-0.3153364 -0.4069764],[-0.3253124  -0.27716187],115.27973001173541,100292.01162093839
41,2023-04-28 18:59:00,[-0.3253124  -0.27716187],[-0.28934315 -0.08311518],54.015285364250154,100346.02690630264
42,2023-04-28 19:59:00,[-0.28934315 -0.08311518],[-0.24190389  0.07679908],43.63252241812281,100389.65942872076
43,2023-04-28 20:59:00,[-0.24190389  0.07679908],[-0.18008755  0.05487023],89.87889149858904,100479.53832021935
44,2023-04-28 21:59:00,[-0.18008755  0.05487023],[-0.36226642 -0.35069403],-8.715423275788627,100470.82289694356
